variable;component;loading
active_products;PC1;0,00329914688509095
app_logins_frequency;PC1;-0,002960257356466267
feature_usage_diversity;PC1;0,0009170903239459208
credit_utilization_ratio;PC1;0,0007265552811566233
international_transactions;PC1;-0,005260570442593112
failed_transactions;PC1;-0,0018452122327161037
tx_count;PC1;-0,0052912519280553846
avg_tx_value;PC1;-0,004895050070515129
total_tx_volume;PC1;-0,0039007797870898144
monthly_transaction_count;PC1;0,5756823414104778
transaction_frequency;PC1;0,5757047573033605
weekend_transaction_ratio;PC1;0,000510088227114941
avg_daily_transactions;PC1;0,5757047573033603
customer_tenure;PC1;0,060168651418640355
support_tickets_count;PC1;-0,007563286318112138
resolved_tickets_ratio;PC1;-0,006929363220849385
app_store_rating;PC1;0,0027844670696140724
base_satisfaction;PC1;-0,021156664240127528
tx_satisfaction;PC1;-0,00798826639139566
product_satisfaction;PC1;0,001278340479616842
satisfaction_score;PC1;-0,025998117872480145
nps_score;PC1;-0,026003543509144536
active_products;PC2;0,005636801604405929
app_logins_frequency;PC2;-0,015689184861148397
feature_usage_diversity;PC2;0,05367195672921884
credit_utilization_ratio;PC2;0,008050177131650306
international_transactions;PC2;0,002318825905451106
failed_transactions;PC2;0,0005496756594022446
tx_count;PC2;0,04261689548459135
avg_tx_value;PC2;-0,0016930114731682274
total_tx_volume;PC2;0,028502615752214067
monthly_transaction_count;PC2;0,024329144277361683
transaction_frequency;PC2;0,02434281354385002
weekend_transaction_ratio;PC2;-0,0014975928786448605
avg_daily_transactions;PC2;0,024342813543850046
customer_tenure;PC2;0,008671573662365106
support_tickets_count;PC2;-0,007880613131159947
resolved_tickets_ratio;PC2;-0,003794013180288978
app_store_rating;PC2;9,255613224993864e-06
base_satisfaction;PC2;0,5532674820405603
tx_satisfaction;PC2;0,07413734332517677
product_satisfaction;PC2;0,07258882941775477
satisfaction_score;PC2;0,5887553924788572
nps_score;PC2;0,5733281387075949
active_products;PC3;-0,004545630204930546
app_logins_frequency;PC3;0,006989386947732934
feature_usage_diversity;PC3;-0,0389145589418097
credit_utilization_ratio;PC3;-0,0011311439337839293
international_transactions;PC3;0,007765992959370454
failed_transactions;PC3;0,0009881489502945396
tx_count;PC3;0,6777921874666244
avg_tx_value;PC3;0,058786801417626953
total_tx_volume;PC3;0,6486240933773526
monthly_transaction_count;PC3;0,0032659992270121945
transaction_frequency;PC3;0,0032976754672006795
weekend_transaction_ratio;PC3;0,0017565067171667749
avg_daily_transactions;PC3;0,003297675467200638
customer_tenure;PC3;0,002731681089979663
support_tickets_count;PC3;-0,034304909468298825
resolved_tickets_ratio;PC3;-0,03581673078663056
app_store_rating;PC3;-0,009477773293032425
base_satisfaction;PC3;-0,0592810078151993
tx_satisfaction;PC3;0,32587328390836023
product_satisfaction;PC3;-0,025345901560779496
satisfaction_score;PC3;-0,030921730225653567
nps_score;PC3;-0,029724812310835392
active_products;PC4;0,009598165542293993
app_logins_frequency;PC4;0,005974332824727369
feature_usage_diversity;PC4;-0,09277575600415494
credit_utilization_ratio;PC4;0,00024327364066064147
international_transactions;PC4;-0,020481454677353548
failed_transactions;PC4;0,01571920328591409
tx_count;PC4;0,030066850315132523
avg_tx_value;PC4;0,016309554516528484
total_tx_volume;PC4;0,02818129916308162
monthly_transaction_count;PC4;0,006499855195319804
transaction_frequency;PC4;0,00647367573244448
weekend_transaction_ratio;PC4;0,0014501509112665497
avg_daily_transactions;PC4;0,006473675732444549
customer_tenure;PC4;0,003522822251469497
support_tickets_count;PC4;0,6997881051102961
resolved_tickets_ratio;PC4;0,7002169760757027
app_store_rating;PC4;-0,010165581848428844
base_satisfaction;PC4;0,014921373308691255
tx_satisfaction;PC4;0,014958708103306038
product_satisfaction;PC4;-0,08858746425967218
satisfaction_score;PC4;0,007001498238676199
nps_score;PC4;0,006301059757945905
active_products;PC5;-0,00244397052686952
app_logins_frequency;PC5;-0,004548091075099556
feature_usage_diversity;PC5;0,6965167185882996
credit_utilization_ratio;PC5;-0,01099290560150676
international_transactions;PC5;0,006760926275188975
failed_transactions;PC5;0,013516938105307122
tx_count;PC5;0,03205336861520692
avg_tx_value;PC5;-0,018972836105570604
total_tx_volume;PC5;0,0323661178081863
monthly_transaction_count;PC5;-0,0023187459409805856
transaction_frequency;PC5;-0,0023307845253951434
weekend_transaction_ratio;PC5;0,0003736063179068569
avg_daily_transactions;PC5;-0,002330784525394727
customer_tenure;PC5;0,008572891659671244
support_tickets_count;PC5;0,09234788554876905
