component;explained_variance;cumulative_variance
PC1;0,1367409707165568;0,1367409707165568
PC2;0,12401957588384482;0,2607605466004016
PC3;0,08508901764427872;0,34584956424468033
PC4;0,07355004486818495;0,4193996091128653
PC5;0,07081614236741583;0,4902157514802811
PC6;0,046320583151318324;0,5365363346315994
PC7;0,04624970809664234;0,5827860427282417
PC8;0,045905415162956986;0,6286914578911987
PC9;0,04566233864189536;0,6743537965330941
PC10;0,0453886088641481;0,7197424053972422
PC11;0,04517874205641225;0,7649211474536545
PC12;0,045104600106179296;0,8100257475598338
PC13;0,044732539963225036;0,8547582875230588
PC14;0,044407892809467775;0,8991661803325266
PC15;0,040980587476804;0,9401467678093306
PC16;0,01985475170896964;0,9600015195183003
PC17;0,017388341928098967;0,9773898614463993
PC18;0,009912503339920877;0,9873023647863202
PC19;0,009561963708542861;0,9968643284948631
PC20;0,003134377445023763;0,9999987059398868
PC21;1,2940601131434987e-06;1,0
PC22;3,9203897557565526e-18;1,0
